No.,Title,Abstract,DOI,Year,Journal,Cited by,Author Keywords,Index Keywords,Authors,,,,,,
39,"Controls of point and diffuse sources lowered riverine nutrient concentrations asynchronously, thereby warping molar N:P ratios","The input of nitrogen (N) and phosphorus (P) into rivers has been reduced in recent decades in many regions of the world to mitigate adverse eutrophication effects. However, legislation focused first on the reduction of nutrient loads from point sources and only later on diffuse sources. These reduction strategies have implications on riverine N:P stoichiometry, which potentially alter patterns of algal nutrient limitation and the functions or community structure of aquatic ecosystems. Here, we use a dataset spanning four decades of water quality for the Ruhr River (Germany) to show that the asynchronous implementation of point and diffuse source mitigation measures combined with time lags of catchment transport processes caused a temporally asynchronous reduction in dissolved inorganic nitrogen and total phosphorus concentrations. This asynchronous reduction increased the molar N:P ratios from around 30 to 100 in the river sections dominated by point sources, reducing the probability of N limitation of algae in favor of P limitation. The Ruhr River catchment and the environmental policies implemented here illustrate the unintended effects of nutrient control strategies on the ecological stoichiometry at the catchment scale. We urge to assess systematically, whether unintentionally warped macronutrient ratios are observable in other managed river systems and to evaluate their environmental impacts. ? 2020 The Author(s). Published by IOP Publishing Ltd.",https://doi.org/10.1088/1748-9326/ab98b6,2020,Environmental Research Letters,22,catchment management; long-Term monitoring; nitrogen; phosphorus; stoichiometry,Aquatic ecosystems; Aquatic organisms; Catchments; Environmental protection; Eutrophication; Molar concentration; Molar ratio; Nitrogen; Nutrients; Phosphorus; Rivers; Runoff; Stoichiometry; Water quality; Community structures; Dissolved inorganic nitrogens; Ecological stoichiometry; Environmental policy; Mitigation measures; N:p stoichiometries; Nutrient concentrations; Nutrient limitations; River pollution; community structure; concentration (composition); data set; dissolved inorganic nitrogen; environmental impact; environmental policy; eutrophication; nutrient limitation; water quality; Germany; North Rhine-Westphalia; Ruhr River; algae,"Westphal, K.; Musolff, A.; Graeber, D.; Borchardt, D.",,,,,,
41,Drivers shaping episodic and gradual changes in phytoplankton community succession: Taxonomic versus functional groups,"Describing temporal changes in phytoplankton communities is complicated owing to (i) multivariate environmental drivers, (ii) inter-specific relationships, and (iii) various species. With long-term research data from the lower Nakdong River from 1993 to 2016, we examined the temporal changes at two scales?episodic (from weekly to monthly) and long-term (yearly)?and screened the potential environmental drivers. Phytoplankton community component patterns were modeled with the drivers as covariates, using multivariate autoregressive state-space (MARSS) models, to assess their response to environmental drivers and biotic interactions. We assumed that compared to taxonomic classification, functional classification would obtain a better identification of community response to temporal variability. Over 24 years, the succession patterns of the dominant taxonomic and functional groups decreased in diversity, with the greatest decreases in biomass of Bacillariophyceae and group D (mainly the diatom Stephanodiscus hantzschii), and coincided with the introduction of group H1 (dinitrogen-fixing nostocaleans). The potential drivers for these changes were precipitation, water level, and total nitrogen (TN) for taxonomic groups and TN, total phosphorus, and euphotic zone depth for functional groups. The results of the MARSS model and temporal trends for each driver indicated that the increases in the water level and light availability were mostly related with the taxonomic and functional groups, respectively. The model for functional groups proposed a total of 24 significant inter-group relationships, where five relationships supported the succession patterns of dominant groups in the Nakdong River. Combined with the effects of increased light availability, a positive relationship between groups H1 and M (mainly Cyanobacteria and Microcystis aeruginosa) appears to induce cyanobacterial bloom development over a long period. These results can be fundamental information for river system management concerning the resulting cascading effects of changes in environmental drivers and inter-group relationships on the phytoplankton community composition. ? 2020 Elsevier B.V.",https://doi.org/10.1016/j.scitotenv.2020.138940,2020,Science of the Total Environment,53,Driving factors; Eutrophication; Functional classification; Long-term change; Multivariate autoregressive model; Phytoplankton community,Forestry; Information management; Nitrogen fixation; Rivers; Water levels; Biotic interactions; Cyanobacterial blooms; Functional classification; Microcystis aeruginosa; Multivariate autoregressive; Phytoplankton community; River system managements; Temporal variability; Phytoplankton; nitrogen; phosphorus; rain; biotic factor; community response; diatom; environmental impact assessment; episodic event; functional group; light availability; multivariate analysis; phytoplankton; taxonomy; temporal variation; water level; algal bloom; Article; biomass; community succession; controlled study; cyanobacterium; dinitrogen fixing nostocalean; environmental factor; environmental management; environmental parameters; euphotic zone depth; nonhuman; Nostocales; organismal interaction; priority journal; river; species composition; species diversity; Stephanodiscus hantzschii; trend study; environmental monitoring; eutrophication; season; Nakdong River; South Korea; Bacillariophyceae; Bacillariophyta; Cyanobacteria; Environmental Monitoring; Eutrophication; Seasons,"Kim, H.G.; Hong, S.; Kim, D.-K.; Joo, G.-J.",,,,,,
43,Long-term water quality patterns in an estuarine reservoir and the functional changes in relations of trophic state variables depending on the construction of serial weirs in upstream reaches,"Water quality degradation is one of the major problems with artificial lakes in estuaries. Long-term spatiotemporal patterns of water quality in a South Korean estuarine reservoir were analyzed using seasonal datasets from 2002 to 2020, and some functional changes in relations of trophic state variables due to the construction of serial weirs in the upper river were also investigated. A total of 19 water quality parameters were used for the study, including indicators of organic matter, nutrients, suspended solids, water clarity, and fecal pollution. In addition, chlorophyll-a (CHL-a) was used to assess algal biomass. An empirical regression model, trophic state index deviation (TSID), and principal component analysis (PCA) were applied. Longitudinal fluctuations in nutrients, organic matter, sestonic CHL-a, and suspended solids were found along the axis of the riverine (Rz), transition (Tz), and lacustrine zones (Lz). The degradation of water quality was seasonally caused by resuspension of sediments, monsoon input due to rainfall inflow, and intensity of Asian monsoon, and was also related to intensive anthropic activities within the catchment. The empirical model and PCA showed that light availability was directly controlled by non-algal turbidity, which was a more important regulator of CHL-a than total nitrogen (TN) and total phosphorus (TP). The TSID supported our hypothesis on the non-algal turbidity. We also found that the construction of serial upper weirs influenced nutrient regime, TSS, CHL-a level, and trophic state in the estuarine reservoir, resulting in lower TP and TN but high CHL-a and high TN/TP ratios. The proportions of both dissolved color clay particles and blue-green algae in the TSID additionally increased. Overall, the long-term patterns of nutrients, suspended solids, and algal biomass changed due to seasonal runoff, turnover time, and reservoir zones along with anthropic impacts of the upper weir constructions, resulting in changes in trophic state variables and their mutual relations in the estuarine reservoir. ? 2021 by the authors. Licensee MDPI, Basel, Switzerland.",https://doi.org/10.3390/ijerph182312568,2021,International Journal of Environmental Research and Public Health,10,Cultural eutrophication; Long-term time-series; Rainfall intensity; Seungchon and Chucksan weirs; Spatial and seasonal patterns; Yeongsan Reservoir,chlorophyll a; nitrogen; organic matter; phosphorus; rain; water; chlorophyll; estuarine environment; eutrophication; functional change; precipitation intensity; rainfall; reservoir; time series; water quality; weir; algal biomass; Article; biomass; construction work; controlled study; dam (barrier); environmental parameters; estuary; fecal pollution; light intensity; monsoon climate; nonhuman; nutrient; particle resuspension; pollution; river; seasonal variation; South Korea; spatiotemporal analysis; suspended particulate matter; trophic level; turbidity; water analysis; water clarity; China; environmental monitoring; lake; South Cholla; Yeongsan Reservoir; Cyanobacteria; Chlorophyll; Environmental Monitoring; Eutrophication; Lakes; Nitrogen; Phosphorus; Water Quality,"Jargal, N.; Lee, H.-S.; An, K.-G.",,,,,,
46,Decreased buffering capacity and increased recovery time for legacy phosphorus in a typical watershed in eastern China between 1960 and 2010,"Legacy phosphorus (P) accumulated in watersheds from excessive historical P inputs is recognized as an important component of water pollution control and sustainable P management in watersheds worldwide. However, little is known about how watershed P buffering capacity responds to legacy P pressures over time and how long it takes for riverine P concentrations to recover to a target level, especially in developing countries. This study examined long-term (1960?2010) accumulated legacy P stock, P buffering capacity and riverine TP flux dynamics to predict riverine P-reduction recovery times in the Yongan watershed of eastern China. Due to a growing legacy P stock coupled with changes in land use and climate, estimated short- and long-term buffering metrics (i.e., watershed ability to retain current year and historically accumulated surplus P, respectively) decreased by 65% and 36%, respectively, resulting in a 15-fold increase of riverine P flux between 1980 and 2010. An empirical model incorporating accumulated legacy P stock and annual precipitation was developed (R2 = 0.99) and used to estimate a critical legacy P stock of 22.2 ton P km?2 (95% CI 19.4?25.3 ton P km?2) that would prevent exceedance of a target riverine TP concentration of 0.05ˇmg P L?1. Using an exponential decay model, the recovery time for depleting the estimated legacy P stock in 2010 (29.3 ton P km?2) to the critical level (22.2 ton P km?2) via riverine flux was 456ˇyears (95% CI 353?560ˇyears), 159ˇyears (95% CI 57?262ˇyears) and 318ˇyears (95% CI 238?400ˇyears) under scenarios of a 4% reduction in annual P inputs, total cessation of P inputs, and 4% reduction of annual P inputs with a 10% increase in average annual precipitation, respectively. Given the lower P buffering capacity and lengthening recovery time, strategies to reduce P inputs and utilize soil legacy P for crop production are necessary to effectively control riverine P pollution and conserve global rock P resources. A long-term perspective that incorporates both contemporary and historical information is required for developing sustainable P management strategies to optimize both agronomic and environmental benefits at the watershed scale. ? 2019, Springer Nature Switzerland AG.",https://doi.org/10.1007/s10533-019-00585-2,2019,Biogeochemistry,23,Eutrophication; Lag time; Legacy nutrients; Phosphorus; Phosphorus buffering capacity; Watershed,concentration (composition); developing world; phosphorus; pollution control; river water; spatiotemporal analysis; water pollution; watershed; China; Fujian; Yongan,"Chen, D.; Zhang, Y.; Shen, H.; Yao, M.; Hu, M.; Dahlgren, R.A.",,,,,,
47,Declining phosphorus as a potential driver for the onset of Didymosphenia geminata mats in North American rivers,"Didymosphenia geminata is a stalk-forming diatom capable of creating thick benthic mats in low-nutrient streams. There are two hypotheses to explain the rapid worldwide increase in occurrence of nuisance D.ˇgeminata mats: (a) Cells are spread among rivers and across broad ecoregions through natural and anthropogenic vectors, or (2) pre-existing D.ˇgeminata populations are forming mats in response to changing environmental conditions within the habitat. Low phosphorus (P) concentrations are a major trigger for stalk production by D.ˇgeminata cells. Although the environmental change hypothesis is gaining support among researchers, long-term data sets demonstrating declining P concentrations prior to reported mat formation have been essentially absent from the literature. Here, we present long-term datasets for two case studies for which long-term P and D.ˇgeminata data coincide: the Matapedia River in Eastern Canada and the Kootenai River below Libby Dam in Montana, United States. Both rivers had declining P levels over time. However, there was a 2- and 20-year lag time, respectively, between mat development and reaching the previously proposed average 2ˇ?g/L soluble reactive P threshold for development. Although the Matapedia River provides some support of the environmental change hypothesis, the Kootenai River data set suggests other environmental factors may play a role in mat development. The data presented do not rule out the environmental change hypothesis but do suggest there may be conditions in addition to low P that must be met for mats to form and the environmental change hypothesis can likely be refined to include more parameters to better understand and mitigate the influence of mats. ? 2018 John Wiley & Sons, Ltd.",https://doi.org/10.1002/rra.3332,2018,River Research and Applications,9,dams; didymo; mat development; nutrients; oligotrophication,concentration (composition); dam; diatom; environmental change; nutrient loss; oligotrophic environment; phosphorus; stream; water chemistry; Canada; Kootenai River; Libby Dam; Matapedia River; Montana; Quebec [Canada]; United States; Bacillariophyta; Didymosphenia geminata,"Kunza, L.A.; Gillis, C.-A.; Haueter, J.Z.; Murdock, J.N.; O'Brien, J.M.",,,,,,
48,Recovery of a Tidal Freshwater Embayment from Eutrophication: a Multidecadal Study,"Effective management of eutrophication in tidal ecosystems requires a thorough understanding of the dynamics of their responses to decreases in nutrient loading. We analyze a 34-year dataset on a shallow embayment of the tidal freshwater Potomac River, Gunston Cove, for long-term responses of ambient nutrient levels, light transparency measures, phytoplankton biomass, and coverage of submersed aquatic vegetation (SAV) to decreased nutrient loading. Point source loading of phosphorus, the nutrient most limiting primary production in this system, was greatly curtailed coincident with the study onset (1983/84) exhibiting a sharp decrease of 95% from peak loading levels. However, water column total phosphorus decreased much more slowly and gradually. Phytoplankton chlorophyll a did not show a distinctive decrease until 2000 and SAV responded strongly beginning in 2004. The habitat suitability model for SAV developed by Chesapeake Bay researchers was able to explain the recovery of SAV coverage based on data on light transparency and basin morphometry collected in this study. The study results were consistent with the alternative stable state theory with a sharp transition from a phytoplankton-dominated ?turbid water? state to an SAV-dominated ?clear water? state in a 2-year period from 2003 to 2005. The system eventually responded to nutrient load reductions, but the nonlinear and incomplete nature of this recovery and the two-decade delay illustrate the complexities of managing these systems. ? 2020, The Author(s).",https://doi.org/10.1007/s12237-020-00730-3,2020,Estuaries and Coasts,11,Hysteresis; Light transparency; Nutrient loading; Submersed aquatic vegetation,aquatic plant; chlorophyll a; dominance; eutrophication; intertidal environment; morphometry; phosphorus; phytoplankton; primary production; transparency; Chesapeake Bay; Potomac River; United States,"Jones, R.C.",,,,,,
49,"Multi-decadal trajectories of phosphorus loading, export, and instream retention along a catchment gradient","Phosphorus inputs to many rivers have been reduced in recent decades to mitigate the damaging effects of eutrophication. However, reductions in total phosphorus (TP) inputs rarely correspond with ecological improvements of the river ecosystem. We analyzed a unique weekly long-term data set ranging from 1966 to 2013, covering seven monitoring sites in the Ruhr River in Germany. We identified the relative importance of different TP sources, quantified long-term trajectories of degradation and recovery, including the dynamics of TP retention, and assessed the response of chlorophyll-a (Chl-a) to increasing and decreasing TP concentrations along the whole river gradient. We found that the decline of TP loads at the beginning of the 1980s was dominantly triggered by a reduction of point sources. The cumulative TP retention capacity increased along the river gradient, increasing from effectively zero in the upstream section, to 26% and 36% of TP input in the upper midstream and lower downstream section. This pattern is consistent with higher prevalence of impoundments and weirs downstream, indicating that TP retention is likely associated with sedimentation posing a potential risk due to remobilization of legacy phosphorus. Degradation and recovery pathways differ from upstream to downstream. Along the river continuum we found three distinct types of reversible trajectories: 1. instream storage only during the recovery phase (upstream only); 2. instream storage in both degradation and recovery phases, but with significantly different characteristics depending on TP input load (midstream only); 3. higher instream storage during the recovery phase (downstream only). While in-stream TP loads may recover rapidly, the ecological response to altered nutrient inputs can be associated with considerable time-lags and decouplings between Chl-a and TP concentrations. Therefore, river systems may not return to historically good ecological status solely from massive nutrient reduction, but may also require other management activities. ? 2019",https://doi.org/10.1016/j.scitotenv.2019.02.428,2019,Science of the Total Environment,26,C-Q relationships; Chlorophyll; Eutrophication; Long-term monitoring; Total phosphorus,Catchments; Chlorophyll; Digital storage; Ecosystems; Eutrophication; Nutrients; Phosphorus; Recovery; River pollution; Trajectories; Ecological improvement; Ecological response; Good ecological status; Long term monitoring; Long-term trajectories; Management activities; Retention capacity; Total phosphorus; Rivers; chlorophyll a; phosphorus; catchment; chlorophyll; concentration (composition); degradation; eutrophication; monitoring; river water; aquatic environment; Article; concentration (parameter); environmental factor; environmental impact assessment; environmental monitoring; geographic distribution; priority journal; river ecosystem; sedimentation; waste water treatment plant; water analysis; Germany; North Rhine-Westphalia; Ruhr River,"Westphal, K.; Graeber, D.; Musolff, A.; Fang, Y.; Jawitz, J.W.; Borchardt, D.",,,,,,
50,"Reduced phosphorus loads from the Loire and Vilaine rivers were accompanied by increasing eutrophication in the Vilaine Bay (south Brittany, France)","The evolution of eutrophication parameters (i.e., nutrients and phytoplankton biomass) during recent decades was examined in coastal waters of the Vilaine Bay (VB, France) in relation to changes in the Loire and Vilaine rivers. Dynamic linear models were used to study long-term trends and seasonality of dissolved inorganic nutrient and chlorophyll a concentrations (Chl a) in rivers and coastal waters. For the period 1997-2013, the reduction in dissolved riverine inorganic phosphorus (DIP) concentrations led to the decrease in their Chl a levels. However, while dissolved inorganic nitrogen (DIN) concentrations decreased only slightly in the Vilaine, they increased in the Loire, specifically in summer. Simultaneously, phytoplankton in the VB underwent profound changes with increase in biomass and change in the timing of the annual peak from spring to summer. The increase in phytoplankton biomass in the VB, manifested particularly by increased summer diatom abundances, was due to enhanced summer DIN loads from the Loire, sustained by internal regeneration of DIP and dissolved silicate (DSi) from sediments. The long-term trajectories of this case study evidence that significant reduction of P inputs without simultaneous N abatement was not yet sufficient to control eutrophication all along the Loire-Vilaine-VB continuum. Upstream rivers reveal indices of recoveries following the significant diminution of P, while eutrophication continues to increase downstream, especially when N is the limiting factor. More N input reduction, paying particular attention to diffuse N sources, is required to control eutrophication in receiving VB coastal waters. Internal benthic DIP and DSi recycling appears to have contributed to the worsening of summer VB water quality, augmenting the effects of anthropogenic DIN inputs. For this coastal ecosystem, nutrient management strategies should consider the role played by internal nutrient loads to tackle eutrophication processes. ?2019 Author(s).",https://doi.org/10.5194/bg-16-1361-2019,2019,Biogeosciences,31,,anthropogenic source; biomass; coastal water; concentration (composition); dissolved inorganic matter; eutrophication; nutrient enrichment; phosphorus; phytoplankton; seasonality; summer; water quality; Bay of Vilaine; Bretagne; France; Loire River; Vilaine River; Bacillariophyta,"Ratmaya, W.; Soudant, D.; Salmon-Monviola, J.; Plus, M.; Cochennec-Laureau, N.; Goubert, E.; BarillÇ, L.; Souchu, P.",,,,,,
53,Synergistic effects of natural and anthropogenic impacts on zooplankton diversity in a subtropical floodplain: A long-term study,"Large biological diversity can be observed in floodplains, which is linked to several ecosystem processes, such as productivity and nutrient cycling; among the species involved in these processes are zooplanktonic organisms. Here, we aimed to quantify the temporal trend of zooplankton, through changes in species richness and composition (?-diversity) and the abundance of individuals, in preserved and non-preserved sites of the Upper Paran† River floodplain during the last 19 years. 617 species (321 rotifers, 135 testate amoebae, 107 cladocerans, and 54 copepods) were recorded. The highest species richness was verified in 2002 and the lowest in 2016. Zooplankton richness and abundance in non-preserved sites show clear temporal homogenization, while preserved sites show cyclical fluctuations over time. The rarefaction curve showed the biodiversity potential in this floodplain. Three invasive species were recorded (Kellicottia bostoniensis, Daphnia lumholtzi, and Mesocyclops ogunnos). The variation in the hydrologic regime, the oligotrophication, and the reduced connectivity among the sites were the main factors interfering in the species composition over the years and leading to a reduction of the species richness and abundance. The preservation of the tributaries with pristine characteristics is very important for the mitigation of these synergistic effects under the community structure. ? 2020, Universidade Federal do Rio de Janeiro (UFRJ). All rights reserved.",https://doi.org/10.4257/oeco.2020.2402.20,2020,Oecologia Australis,21,Biodiversity; Damming effect; Invasive species; Large rivers; Oligotrophication,,"Bonecker, C.C.; Diniz, L.P.; Braghin, L.S.M.; Mantovano, T.; Silva, J.V.F.; Bomfim, F.F.; Moi, D.A.; Deosti, S.; Dos Santos, G.N.T.; das Candeias, D.A.; Mota, A.J.M.M.; Velho, L.F.M.; Lansac-Tìha, F.A.",,,,,,
54,"Space and time variations of watershed N and P budgets and their relationships with reactive N and P loadings in a heavily impacted river basin (Po river, Northern Italy)","The aim of the present study is to analyze relationships between land uses and anthropogenic pressures, and nutrient loadings in the Po river basin, the largest hydrographic system in Italy, together with the changes they have undergone in the last half century. Four main points are addressed: 1) spatial distribution and time evolution of land uses and associated N and P budgets; 2) long-term trajectories of the reactive N and P loadings exported from the Po river; 3) relationships between budgets and loadings; 4) brief review of relationships between N and P loadings and eutrophication in the Northern Adriatic Sea. Net Anthropogenic N (NANI) and P (NAPI) inputs, and N and P surpluses in the cropland between 1960 and 2010 were calculated. The annual loadings of dissolved inorganic nitrogen (DIN) and soluble reactive phosphorus (SRP) exported by the river were calculated for the whole 1968?2016 period. N and P loadings increased from the 1960s to the 1980s, as NAPI and NANI and N and P surpluses increased. Thereafter SRP declined, while DIN remained steadily high, resulting in a notable increase of the N:P molar ratio from 47 to 100. In the same period, the Po river watershed underwent a trajectory from net autotrophy to net heterotrophy, which reflected its specialization toward livestock farming. This study also demonstrates that in a relatively short time, i.e. almost one decade, N and P sources were relocated within the watershed, due to discordant environmental policies and mismanagement on the local scale, with frequent episodes of heavy pollution. This poses key questions about the spatial scale on which problems have to be dealt with in order to harmonize policies, set sustainable management goals, restore river basins and, ultimately, protect the adjacent coastal seas from eutrophication. ? 2018 Elsevier B.V.",https://doi.org/10.1016/j.scitotenv.2018.05.233,2018,Science of the Total Environment,101,Dissolved inorganic nitrogen; N surplus; NANI; NAPI; P surplus; Soluble reactive phosphorus,Agricultural pollution; Budget control; Environmental protection; Eutrophication; Land use; Molar ratio; Nitrogen; Phosphorus; River pollution; Rivers; Sustainable development; Anthropogenics; Dissolved inorganic nitrogens; N surplus; NAPI; Net anthropogenic N; P surplus; Po River; River basins; Soluble reactive phosphorus; Space variation; Watersheds; inorganic compound; nitrogen; phosphorus; dissolved inorganic nitrogen; river basin; river pollution; spatial variation; temporal variation; watershed; Article; chemical analysis; cropland; environmental impact; eutrophication; hydrography; Italy; land use; nutrient loading; priority journal; sea; time; Adriatic Sea; agricultural worker; article; autotrophy; budget; controlled study; environmental policy; heterotrophy; human; livestock; nonhuman; specialization; Mediterranean Sea,"Viaroli, P.; Soana, E.; Pecora, S.; Laini, A.; Naldi, M.; Fano, E.A.; Nizzoli, D.",,,,,,
55,Water quality trends in the Three Gorges Reservoir region before and after impoundment (1992?2016),"Reservoirs are essential for the wellbeing of human societies, but can also be subject to negative ecological impacts. The Three Gorges Reservoir (TGR) in the upper Yangtze River is remarkable for its size and engineering; however, its effects on water quality are poorly understood. To the best of our knowledge, this study is the first to describe long-term (1992?2016) monitoring. It showed that the chemical oxygen demand (COD, via the potassium permanganate index) and total phosphorus (TP) have decreased 40.9% Ò 9.9% and 22.2% Ò 9.7% respectively in the TGR mainstream between impoundment in June 2003 and 2016, while total nitrogen (TN) and ammonium (NH4-N) have increased 1.3% Ò 2.4% and 8.2% Ò 2.6%. In addition, phytoplankton biomass has increased by a factor of 2.7 (1.1?4.8) over pre-impoundment levels in the mainstream, and tributary algal blooms have increased in frequency since 2004. The reductions in COD and TP were caused primarily by decreases in water flow speed, which lead to sediment settlement. The anti-seasonal operation pattern and water volume increased TGR may also increases the dilution capacity. TN and ammonium are less affected by sediment deposition and have increased slightly under intensified human activities. Decreased water flow speeds and nutrient enrichment have promoted increases in algal biomass, leading to blooms in tributary backwater zones. In situ experiments indicate that phytoplankton growth in the TGR is phosphorus limited during all seasons. Therefore, controlling phosphorus will reduce the short-term eutrophication potential in the reservoir. However, concurrent control of nitrogen and phosphorus inputs are necessary in the long term. ? 2018",https://doi.org/10.1016/j.ecohyd.2018.08.005,2019,Ecohydrology and Hydrobiology,93,Eutrophication; Nitrogen; Phosphorus; Three Gorges Reservoir; Water quality; Yangtze River,concentration (composition); eutrophication; nitrogen; phosphorus; seasonal variation; water flow; water quality; China; Three Gorges Reservoir; Yangtze River; algae,"Li, Z.; Ma, J.; Guo, J.; Paerl, H.W.; Brookes, J.D.; Xiao, Y.; Fang, F.; Ouyang, W.; Lunhui, L.",,,,,,
57,Trophic responses of the Asian reservoir to long-term seasonal and interannual dynamic monsoon,"The main objectives of the study were to determine the trophic response of the temperate reservoir to seasonal and interannual variabilities of monsoon inorganic solids and nutrients along the gradients of the morphologically complex Asian reservoir using long-term datasets between 2000-2018. Nutrient regime (total nitrogen-TN, total phosphorus-TP), total suspended solids (TSS), and chlorophyll-a (CHL-a) were primarily affected by an intensity of summer monsoon and the longitudinal structure of riverine (Rz), transitional (Tz), and lacustrine (Lz) zone. The reservoir is a nitrogen-rich system and the phosphorus content of the water was relatively low, and it had low mean N:P ratios (<40), implying a P-limiting system. The Lz was a highly P-limited zone in comparison to Rz and Tz zone during both drought (2015) and flood year (2011). The TP content was higher in the mainstem (S3) than the embankment (S4 and S6) of the reservoir due to the monsoon river inputs of the nutrients. Nonparametric Mann-Kendall tests indicated that TP decreased over the long-term years in the Rz, while it did not show any trend in Tz, Lz, IT1, and IT2. TN showed an increasing trend in Rz, Tz, Lz, and IT2 except for IT1. The empirical regression model for chlorophyll nutrients showed that CHL-a had a strong positive relationship with TP (R2 = 0.67, p < 0.01) than TN (R2 = 0.06, p < 0.01), supporting the view that algal growth in lentic systems responds to TP enrichment and TP may provide a reliable basis for predicting algal biomass. The seasonality of CHL-a and TP showed a monomodal pattern and indicates that summer TP influences summer algal growth in Tz, Lz, and IT2. The water clarity (SD) of the reservoir was significantly (p < 0.01) influenced by TP (R2 = 0.62), TSS (R2 = 0.67), and CHL-a (R2 = 0.68) rather than TN (R2 = 0.10). The non-algal light attenuation coefficient (Kna) was determined mainly by suspended solids and the monsoon hydrology. The trophic state was much higher when assessments were based on TSI (CHL-a) than on TSI (TP) and TSI (SD). TSI (CHL-a) indicated the eutrophic state of the reservoirs except for the zone of Lz during the premonsoon season. Analysis of trophic state index deviation (TSID) suggested that the blue-green algae dominated the algal community, and the effects of non-algal turbidity and zooplankton grazing were minor in the reservoir. ? 2020 by the author.",https://doi.org/10.3390/w12072066,2020,Water (Switzerland),19,Algal chlorophyll; Eutrophication; Nutrients; Reservoir; Trophic state,Algae; Atmospheric thermodynamics; Chlorophyll; Nitrogen; Nutrients; Phosphorus; Regression analysis; Blue green algae; Empirical regression model; Light-attenuation coefficients; Mann-Kendall test; Phosphorus contents; Seasonal and interannual variability; Suspended solids; Total suspended solids; Reservoirs (water); algal community; annual variation; chlorophyll a; drought; embankment; lacustrine deposit; light attenuation; monsoon; reservoir; seasonal variation; seasonality; trophic structure; zooplankton; algae; Chlorophyta,"Mamun, M.; Kim, J.Y.; An, K.-G.",,,,,,
58,Flow regime and nutrient-loading trends from the largest South European watersheds: Implications for the productivity of mediterranean and Black Sea's Coastal Areas,"In the last century, large watersheds in Southern Europe have been impacted by a combination of anthropogenic and climatic pressures, which have rapidly evolved to change the ecological status of freshwater and coastal systems. A comparative analysis was performed for Ebro, Rhìne, Po and Danube rivers, to investigate if they exhibited differential dynamics in hydrology and water quality that can be linked to specific human and natural forces acting at sub-continental scales. Flow regime series were analyzed from daily to multi-decadal scales, considering frequency distributions, trends (Mann-Kendall and Sen tests) and discontinuities (SRSD Method). River loads of suspended matter, nutrients and organic matter and the eutrophication potential of river nutrients were estimated to assess the impact of river loads on adjacent coastal areas. The decline of freshwater resources largely impacted the Ebro watershed on annual (-0.139 km3 yr-1) and seasonal (-0.4% yr -1) scales. In the other rivers, only spring-summer showed significant decreases of the runoff coupled to an exacerbated flow variability (0.1-0.3% yr-1), which suggested the presence of an enhanced regional climatic instability. Discontinuities in annual runoff series (every 20-30 years) indicated a similar long-term evolution of Rhìne and Po rivers, differently from Ebro and Danube. Higher nutrient concentrations in the Ebro and Po (+50%) compared to Rhìne and Danube and distinct stoichiometric nutrient ratios may exert specific impacts on the growth of plankton biomass in coastal areas. The overall decline of inorganic phosphorus in the Rhìne and Po (since the 1980s) and the Ebro and Danube (since the 1990s) mitigated the eutrophication in coastal ecosystems inducing, however, a phase in which the role of organic phosphorus loads (Po > Danube > Rhìne > Ebro) on coastal productivity could be more relevant. Overall, the study showed that the largest South European watersheds are differently impacted by anthropogenic and climatic forces and that this will influence their vulnerability to future changes of flow regime and water quality. ? 2018 by the authors.",https://doi.org/10.3390/w11010001,2018,Water (Switzerland),77,Anthropogenic pressures; Black Sea; Climate change; Coastal productivity; Mediterranean; River runoff; Time series; Water quality,Climate change; Coastal zones; Ecosystems; Eutrophication; Long Term Evolution (LTE); Phosphorus; Plankton; Productivity; River pollution; Rivers; Runoff; Time series; Water quality; Watersheds; Anthropogenic pressures; Black sea; Eutrophication potentials; Frequency distributions; Fresh water resources; Mediterranean; Nutrient concentrations; River runoffs; Nutrients,"Cozzi, S.; Ib†§ez, C.; Laz?r, L.; Raimbault, P.; Giani, M.",,,,,,
